departamento,comuna,contexto01,contexto02,contexto03,contexto04,contexto05,contexto06,contexto07,contexto08,contexto09,contexto10,contexto11,contexto12,contexto13,contexto14,contexto15,contexto16,contexto17,contexto18,contexto19,contexto20,contexto21,contexto22,contexto23,epidemiologia1,epidemiologia2,epidemiologia3,epidemiologia4,epidemiologia5,epidemiologia6,epidemiologia7,epidemiologia8,epidemiologia9,epidemiologia10,epidemiologia11,mitigacion01,mitigacion02,mitigacion03,mitigacion04,mitigacion05,mitigacion06,mitigacion07,mitigacion08,mitigacion09,mitigacion10,mitigacion11,mitigacion12,mitigacion13,mitigacion14,mitigacion15,mitigacion16,mitigacion17,mitigacion18,mitigacion19,mitigacion20,mitigacion21,mitigacion22,mitigacion23,SCORE
Union, Justiniano Posse,8,0,2,0,0,0,0,1,0,0,0,1,0,1,2,2,0,0,0,0,0,2,0,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,28
Rio Seco, Rayo Cortado,8,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2,0,0,0,0,3,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,27
Rio Segundo, Villa Del Rosario,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,27
Tulumba, San Jose De Las Salinas,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,1,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,27
Santa Maria, Villa La Bolsa,8,0,0,0,0,2,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,27
Marcos Juarez, Arias,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,27
Marcos Juarez, Cavanagh,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,27
Rio Segundo, Capilla Del Carmen,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,27
Rio Segundo, Colazo,8,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,2,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,27
Juarez Celman, Huanchilla,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,27
Rio Cuarto, Tosquita,8,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,27
