departamento,comuna,contexto01,contexto03,contexto06,contexto08,contexto10,contexto11,contexto12,contexto13,contexto14,contexto15,contexto16,contexto17,contexto21,contexto22
Ischilin, Chuña,4,0,0,0,0,0,1,1,1,0,0,1,0,0
Ischilin, Copacabana,4,0,0,0,0,0,1,0,1,0,0,1,0,0
Ischilin, Dean Funes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ischilin, Los Pozos,4,1,0,0,0,0,0,0,0,0,0,0,0,0
Ischilin, Olivares De San Nicolas,4,0,0,1,0,0,1,0,0,0,0,0,0,0
Ischilin, Quilino,4,0,0,0,0,0,1,0,0,0,0,0,0,0
Ischilin, Villa Gutierrez,4,0,0,1,0,0,0,1,0,0,0,1,0,0
Ischilin, Zona Rural No Comprendida En Municipios O Comunas,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Juarez Celman, Alejandro Roca,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Juarez Celman, Assunta,4,0,1,0,0,0,0,0,0,0,0,0,0,0
Juarez Celman, Bengolea,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Juarez Celman, Carnerillo,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Juarez Celman, Charras,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Juarez Celman, El Rastreador,4,0,0,0,0,0,1,0,0,0,0,0,0,0
Juarez Celman, General Cabrera,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juarez Celman, General Deheza,4,0,1,0,0,0,0,0,0,0,0,0,0,0
Juarez Celman, Huanchilla,4,0,0,0,0,1,0,0,0,0,0,0,0,1
Juarez Celman, La Carlota,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Juarez Celman, Los Cisnes,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Juarez Celman, Olaeta,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Juarez Celman, Pacheco De Melo,4,0,0,0,0,0,0,0,0,0,1,0,0,0
Juarez Celman, Paso Del Durazno,4,0,0,0,0,0,0,0,1,0,1,0,0,0
Juarez Celman, Reduccion,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Juarez Celman, Santa Eufemia,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Juarez Celman, Ucacha,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Juarez Celman, Zona Rural No Comprendida En Municipios O Comunas,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Marcos Juarez, Alejo Ledesma,4,0,0,0,0,0,0,0,1,0,0,0,0,0
Marcos Juarez, Arias,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcos Juarez, Camilo Aldao,4,0,0,0,0,1,0,0,0,0,0,0,0,1
Marcos Juarez, Capitan General Bernardo O Higgins,4,0,0,0,0,0,0,0,1,1,0,1,0,0
Marcos Juarez, Cavanagh,4,0,0,0,0,0,0,0,0,0,0,0,0,1
Marcos Juarez, Colonia Barge,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcos Juarez, Colonia Italiana,4,0,1,0,0,0,0,0,1,0,1,0,0,0
Marcos Juarez, Corral De Bustos,4,0,1,0,0,1,0,0,0,0,0,0,0,1
Marcos Juarez, Cruz Alta,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcos Juarez, General Baldissera,4,0,1,0,0,0,0,0,0,0,0,0,0,0
Marcos Juarez, General Roca,4,0,0,0,0,1,0,0,0,0,0,0,0,1
Marcos Juarez, Guatimozin,4,0,1,0,0,1,0,0,0,0,0,0,0,1
Marcos Juarez, Inriville,4,0,1,0,0,1,0,0,0,0,0,0,0,1
Marcos Juarez, Isla Verde,4,0,0,0,0,0,0,0,1,0,0,0,0,0
Marcos Juarez, Leones,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcos Juarez, Los Surgentes,4,0,1,0,0,1,0,0,1,0,1,0,0,1
Marcos Juarez, Marcos Juarez,4,0,1,0,1,0,0,0,0,0,0,0,0,0
Marcos Juarez, Monte Buey,4,0,1,0,0,0,0,0,0,0,0,0,0,0
Marcos Juarez, Saira,4,0,0,0,0,1,0,0,0,0,0,0,0,1
Marcos Juarez, Saladillo,4,0,0,0,0,0,0,0,0,1,0,0,0,1
Marcos Juarez, Villa Elisa,4,0,0,0,0,0,1,0,1,0,1,0,0,0
Marcos Juarez, Zona Rural No Comprendida En Municipios O Comunas,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Minas, Cienaga Del Coro,4,0,0,0,0,1,0,1,0,0,0,0,1,1
Minas, El Chacho,4,0,0,0,0,0,1,1,0,0,0,1,1,0
Minas, Estancia De Guadalupe,4,1,0,0,0,0,0,0,0,0,0,0,1,0
Minas, Guasapampa,4,1,0,0,0,0,0,0,0,0,0,0,1,0
Minas, La Playa,4,0,0,0,0,0,1,1,0,0,0,1,1,0
Minas, San Carlos Minas,4,0,0,0,0,0,0,0,0,0,0,0,1,0
Minas, Talaini,4,0,0,1,0,0,0,0,1,0,0,0,1,0
Minas, Tosno,4,0,0,1,0,0,0,1,1,0,1,0,1,1
Minas, Zona Rural No Comprendida En Municipios O Comunas,0,0,0,0,0,1,0,1,1,0,0,0,1,1
Pocho, Chancani,4,0,0,1,0,0,0,0,0,0,0,0,1,0
Pocho, Las Palmas,4,0,0,0,0,0,0,0,0,0,0,0,1,1
Pocho, Los Talares,4,0,0,0,0,0,0,1,0,0,1,0,1,0
Pocho, Salsacate,4,0,0,0,0,0,0,0,0,0,0,0,1,0
Pocho, San Geronimo,4,1,0,1,0,0,0,0,0,0,0,1,1,0
Pocho, Tala Cañada,4,0,0,0,0,0,0,1,0,0,0,0,1,1
Pocho, Villa De Pocho,4,0,0,1,0,1,0,1,1,0,1,0,1,0
Pocho, Zona Rural No Comprendida En Municipios O Comunas,0,1,0,1,0,0,0,1,0,0,0,0,1,0
Pte.R.S. Peña, General Levalle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pte.R.S. Peña, La Cesira,4,0,0,0,0,0,0,0,1,0,1,0,0,0
Pte.R.S. Peña, Laboulaye,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pte.R.S. Peña, Leguizamon,4,0,0,0,0,0,1,0,0,0,0,1,0,0
Pte.R.S. Peña, Melo,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Pte.R.S. Peña, Riobamba,4,1,0,0,0,0,0,0,0,0,0,0,0,0
